SIRUTA;county;LHDI2018;IDUL2018quintile;hcapmat18;hconectint18;hrsm18;POPD2018;Cultarea18;LOCALITATE;SIRINF
54975;CLUJ;80,1;5;80,5;98,5;26,9;32367;5;CLUJ-NAPOCA;54984
57706;CLUJ;80;5;74,1;127,6;38,4;35148;5;FLORESTI;57715
57706;CLUJ;80;5;74,1;127,6;38,4;35148;5;LUNA DE SUS;57724
57706;CLUJ;80;5;74,1;127,6;38,4;35148;5;TAUTI;57733
58259;CLUJ;77;5;86,4;75,2;34,5;4454;5;JUCU DE SUS;58268
58259;CLUJ;77;5;86,4;75,2;34,5;4454;5;GADALIN;58277
58259;CLUJ;77;5;86,4;75,2;34,5;4454;5;JUC-HERGHELIE;58286
58259;CLUJ;77;5;86,4;75,2;34,5;4454;5;JUCU DE MIJLOC;58295
58259;CLUJ;77;5;86,4;75,2;34,5;4454;5;VISEA;58302
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;APAHIDA;55696
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;BODROG;55703
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;CIMPENESTI;55712
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;CORPADEA;55721
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;DEZMIR;55730
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;PATA;55749
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;SINNICOARA;55758
55687;CLUJ;76,6;5;81,8;86,6;41,1;13217;5;SUB COASTA;55767
57582;CLUJ;74,9;5;76,9;87,3;35,6;3953;5;FELEACU;57591
57582;CLUJ;74,9;5;76,9;87,3;35,6;3953;5;CASELE MICESTI;57608
57582;CLUJ;74,9;5;76,9;87,3;35,6;3953;5;GHEORGHIENI;57617
57582;CLUJ;74,9;5;76,9;87,3;35,6;3953;5;SARADIS;57626
57582;CLUJ;74,9;5;76,9;87,3;35,6;3953;5;VILCELE;57635
57902;CLUJ;72;5;76,1;66,3;15,2;8863;5;GILAU;57911
57902;CLUJ;72;5;76,1;66,3;15,2;8863;5;SOMESU CALD;57920
57902;CLUJ;72;5;76,1;66,3;15,2;8863;5;SOMESU RECE;57939
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;BACIU;55847
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;CORUSU;55856
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;MERA;55865
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;POPESTI;55874
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;RADAIA;55883
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;SALISTEA NOUA;55892
55838;CLUJ;71,8;5;70,5;85,7;32,6;11526;5;SUCEAGU;55909
55008;CLUJ;68,6;5;73,9;69,6;40,1;38467;5;DEJ;55017
55008;CLUJ;68,6;5;73,9;69,6;40,1;38467;5;OCNA DEJULUI;55026
55008;CLUJ;68,6;5;73,9;69,6;40,1;38467;5;PINTIC;55044
55008;CLUJ;68,6;5;73,9;69,6;40,1;38467;5;SOMCUTU MIC;55053
55062;CLUJ;68,6;5;75,6;67,6;42,3;3019;5;CUZDRIOARA;55071
55062;CLUJ;68,6;5;75,6;67,6;42,3;3019;5;MANASTUREL;55080
55062;CLUJ;68,6;5;75,6;67,6;42,3;3019;5;VALEA GIRBOULUI;55099
55598;CLUJ;67,6;5;70,3;76,3;49,4;1019;5;AITON;55605
55598;CLUJ;67,6;5;70,3;76,3;49,4;1019;5;REDIU;55614
59764;CLUJ;66,6;5;73,9;66,3;49,6;2217;5;TURENI;59773
59764;CLUJ;66,6;5;73,9;66,3;49,6;2217;5;CEANU MIC;59782
59764;CLUJ;66,6;5;73,9;66,3;49,6;2217;5;COMSESTI;59791
59764;CLUJ;66,6;5;73,9;66,3;49,6;2217;5;MARTINESTI;59808
